Date (MM/DD/YYYY),Entity Name,Latitude,Longitude,City,State,Sector,Demand,Currency,Demand in USD,Paid,Amount Paid
01/04/2024,LoanDepot,33.6846,-117.8265,Irvine,CA,Financial Services/Mortgage,Unknown,Unknown,Unknown,Unknown,Unknown
01/07/2024,Muscatine Power and Water,41.4245,-91.0432,Muscatine,IA,Government/Utilities,Unknown,Unknown,Unknown,False,null
01/17/2024,Schneider Electric (US Operations),42.6584,-71.3673,Andover,MA,Technology/Energy Management,Unknown,Unknown,Unknown,False,null
01/22/2024,Fulton County Government,33.7490,-84.3880,Atlanta,GA,Government,Unknown,Unknown,Unknown,False,null
01/27/2024,Jackson County Government,39.0997,-94.5786,Kansas City,MO,Government,Unknown,Unknown,Unknown,True,Unknown
01/31/2024,Lurie Children's Hospital,41.9234,-87.6742,Chicago,IL,Healthcare,60 BTC,Bitcoin,"$3,700,000",False,null
02/05/2024,Prudential Financial,40.7489,-74.1724,Newark,NJ,Financial Services/Insurance,Unknown,Unknown,Unknown,False,null
02/08/2024,Germantown City Government,35.0870,-89.8101,Germantown,TN,Government,Unknown,Unknown,Unknown,Unknown,Unknown
02/08/2024,Nissan North America,36.0665,-86.4438,Franklin,TN,Automotive/Manufacturing,Unknown,Unknown,Unknown,False,null
02/12/2024,Bank of America (via Infosys McCamish),35.2271,-80.8431,Charlotte,NC,Financial Services,Unknown,Unknown,Unknown,False,null
02/14/2024,Skokie Village Government,42.0334,-87.7332,Skokie,IL,Government,Unknown,Unknown,Unknown,Unknown,Unknown
02/21/2024,Change Healthcare,36.1627,-86.7816,Nashville,TN,Healthcare/Health IT,350 BTC,Bitcoin,"$22,000,000",True,"$22,000,000"
02/26/2024,Integris Health (extortion phase),35.4676,-97.5164,Oklahoma City,OK,Healthcare,Unknown,Unknown,Unknown,False,null
03/08/2024,Panera Bread,38.6270,-90.1994,St. Louis,MO,Food Service/Retail,Unknown,Unknown,Unknown,True,Unknown
03/15/2024,Duvel Moortgat USA (Firestone Walker),35.3733,-119.0187,Paso Robles,CA,Food & Beverage/Manufacturing,Unknown,Unknown,Unknown,False,null
03/18/2024,Omni Hotels & Resorts,32.7767,-96.7970,Dallas,TX,Hospitality,Unknown,Unknown,Unknown,False,null
03/27/2024,AT&T (Snowflake breach),32.7767,-96.7970,Dallas,TX,Telecommunications,5.72 BTC,Bitcoin,"$373,000",True,"$373,000"
