Date (MM/DD/YYYY),Entity Name,Latitude,Longitude,City,State,Sector,Demand,Currency,Demand in USD,Paid,Amount Paid
01/06/2021,Victor Central School District,42.9870,-77.4097,Victor,NY,Education,Unknown,Unknown,Unknown,False,null
01/08/2021,Leon Medical Centers,25.8576,-80.2781,Hialeah,FL,Healthcare,Unknown,Unknown,Unknown,Unknown,Unknown
01/15/2021,Automatic Funds Transfer Services (AFTS),47.6062,-122.3321,Seattle,WA,Financial Technology/Government Services,Unknown,Unknown,Unknown,False,null
01/20/2021,Broward Health,26.1224,-80.1373,Fort Lauderdale,FL,Healthcare,Unknown,Unknown,Unknown,False,null
01/21/2021,Rehoboth McKinley Christian Health Care,35.5281,-108.7426,Gallup,NM,Healthcare,Unknown,Unknown,Unknown,Unknown,Unknown
01/26/2021,PracticeFirst Medical Management Solutions,42.8864,-78.8784,Buffalo,NY,Healthcare/Medical Management,Unknown,Unknown,Unknown,Unknown,Unknown
02/08/2021,Advanced Urgent Care of Florida,25.7617,-80.1918,Miami,FL,Healthcare,Unknown,Unknown,Unknown,Unknown,Unknown
02/08/2021,Yuba City Unified School District,39.1404,-121.6169,Yuba City,CA,Education,Unknown,Unknown,Unknown,False,null
02/13/2021,Kia Motors America,33.6846,-117.8265,Irvine,CA,Automotive,404 BTC,Bitcoin,"$20,000,000",Unknown,Unknown
02/16/2021,Sierra Wireless,47.6062,-122.3321,Seattle,WA,Technology/IoT Manufacturing,Unknown,Unknown,Unknown,False,null
02/22/2021,Pima Community College,32.2226,-110.9747,Tucson,AZ,Education,Unknown,Unknown,Unknown,False,null
02/25/2021,Steamfitters Local 420,39.9526,-75.1652,Philadelphia,PA,Labor/Government,Unknown,Unknown,Unknown,False,null
03/02/2021,CompuCom,32.7767,-96.7970,Dallas,TX,Technology/IT Services,Unknown,Unknown,Unknown,False,null
03/04/2021,Acer Inc. (US Operations),37.3382,-121.8863,San Jose,CA,Technology/Manufacturing,"$50,000,000",Monero,"$50,000,000",Unknown,Unknown
03/07/2021,Hillsborough County Public Schools,27.9506,-82.4572,Tampa,FL,Education,Unknown,Unknown,Unknown,False,null
03/15/2021,Gulf Coast Regional Blood Center,29.7041,-95.4085,Houston,TX,Healthcare,Unknown,Unknown,Unknown,False,null
03/17/2021,Berkshire Hills Bancorp,42.1015,-73.9496,Pittsfield,MA,Financial Services,Unknown,Unknown,Unknown,False,null
03/21/2021,CNA Financial Corporation,41.8827,-87.6233,Chicago,IL,Insurance,"$60,000,000",Unknown,"$60,000,000",True,"$40,000,000"
03/27/2021,Sierra Pacific Industries,40.5865,-122.3917,Anderson,CA,Manufacturing/Lumber,Unknown,Unknown,Unknown,False,null
04/09/2021,Quanta Computer (Apple supplier),37.3861,-122.0839,Cupertino,CA,Technology/Manufacturing,"$50,000,000",Unknown,"$50,000,000",False,null
04/14/2021,Houston Rockets (NBA),29.7490,-95.3677,Houston,TX,Sports/Entertainment,Unknown,Unknown,Unknown,False,null
04/19/2021,Broward County Public Schools,26.1224,-80.1373,Fort Lauderdale,FL,Education,"$40,000,000",Bitcoin,"$40,000,000",False,null
04/22/2021,Brenntag North America,30.3505,-97.7401,Austin,TX,Chemical Distribution,"$7,500,000",Bitcoin,"$7,500,000",True,"$4,400,000"
04/26/2021,DC Metropolitan Police Department,38.8951,-77.0364,Washington,DC,Government/Law Enforcement,"$4,000,000",Unknown,"$4,000,000",False,null
05/01/2021,Scripps Health,32.7157,-117.1611,San Diego,CA,Healthcare,Unknown,Unknown,Unknown,False,null
05/07/2021,Colonial Pipeline,34.0754,-84.2941,Alpharetta,GA,Energy/Critical Infrastructure,75 BTC,Bitcoin,"$4,400,000",True,"$4,400,000"
05/07/2021,Steamship Authority of Massachusetts,41.5230,-70.6673,Woods Hole,MA,Transportation/Maritime,Unknown,Unknown,Unknown,False,null
05/09/2021,ExaGrid,42.3459,-71.5523,Marlborough,MA,Technology/Data Storage,"$2,500,000",Bitcoin,"$2,500,000",True,"$2,600,000"
05/14/2021,University of Florida Health,29.6516,-82.3490,Gainesville,FL,Healthcare/Education,Unknown,Unknown,Unknown,False,null
05/27/2021,JBS USA Holdings,40.4233,-104.7091,Greeley,CO,Food Processing/Agriculture,"$22,500,000",Bitcoin,"$22,500,000",True,"$11,000,000"
05/31/2021,Fujifilm (US Operations),40.7128,-74.0060,New York,NY,Technology/Manufacturing,Unknown,Unknown,Unknown,False,null
06/01/2021,St. Clair County Government,42.8084,-82.4879,Port Huron,MI,Government,Unknown,Unknown,Unknown,False,null
06/02/2021,US Foods,41.9706,-87.8631,Rosemont,IL,Food Distribution,Unknown,Unknown,Unknown,False,null
06/03/2021,Vermont Agency of Transportation,44.2601,-72.5754,Montpelier,VT,Government/Transportation,Unknown,Unknown,Unknown,False,null
06/08/2021,Bose Corporation,42.2793,-71.4162,Framingham,MA,Technology/Consumer Electronics,Unknown,Unknown,Unknown,False,null
06/11/2021,Saint Joseph's/Candler Health System,32.0809,-81.0912,Savannah,GA,Healthcare,Unknown,Unknown,Unknown,False,null
06/11/2021,Forefront Dermatology,44.5192,-88.0198,Green Bay,WI,Healthcare,Unknown,Unknown,Unknown,False,null
06/14/2021,Rockwood School District,38.5219,-90.5271,Eureka,MO,Education,Unknown,Unknown,Unknown,False,null
06/17/2021,Judson Independent School District,29.5869,-98.3219,San Antonio,TX,Education,Unknown,Bitcoin,Unknown,True,"$547,045"
06/27/2021,Coos County Family Health Services,44.4673,-71.5572,Berlin,NH,Healthcare,Unknown,Unknown,Unknown,False,null
06/28/2021,Wolfe Eye Clinic,41.9779,-91.6656,Cedar Rapids,IA,Healthcare,Unknown,Unknown,Unknown,False,null
