Date (MM/DD/YYYY),Entity Name,Latitude,Longitude,City,State,Sector,Demand,Currency,Demand in USD,Paid,Amount Paid
01/10/2023,Atlantic General Hospital,38.3218,-75.2171,Berlin,MD,Healthcare,Unknown,Unknown,Unknown,False,null
01/17/2023,Southeastern Louisiana University,30.3213,-90.2148,Hammond,LA,Education,Unknown,Unknown,Unknown,False,null
01/18/2023,Yum! Brands (KFC/Pizza Hut/Taco Bell),38.2527,-85.7585,Louisville,KY,Food Service/Retail,Unknown,Unknown,Unknown,False,null
01/18/2023,Swansea Public Schools,41.7510,-71.2200,Swansea,MA,Education,Unknown,Unknown,Unknown,False,null
01/24/2023,Tucson Unified School District,32.2226,-110.9747,Tucson,AZ,Education,Unknown,Unknown,Unknown,False,null
01/28/2023,NextGen Healthcare,33.7490,-84.3880,Atlanta,GA,Technology/Healthcare IT,Unknown,Unknown,Unknown,False,null
01/31/2023,ION Cleared Derivatives,40.7128,-74.0060,New York,NY,Financial Services/Trading,Unknown,Unknown,Unknown,Unknown,Unknown
02/01/2023,Dish Network,39.7392,-104.9903,Englewood,CO,Technology/Telecommunications,Unknown,Unknown,Unknown,True,Unknown
02/01/2023,NationsBenefits Holdings,26.1224,-80.1373,Fort Lauderdale,FL,Healthcare/Benefits Management,Unknown,Unknown,Unknown,False,null
02/05/2023,Tallahassee Memorial HealthCare,30.4383,-84.2807,Tallahassee,FL,Healthcare,Unknown,Unknown,Unknown,False,null
02/06/2023,Lehigh Valley Health Network,40.6023,-75.4714,Allentown,PA,Healthcare,Unknown,Unknown,Unknown,False,null
02/08/2023,City of Oakland,37.8044,-122.2712,Oakland,CA,Government,Unknown,Unknown,Unknown,False,null
02/13/2023,Transformative Healthcare,42.3601,-71.0589,Framingham,MA,Healthcare,Unknown,Unknown,Unknown,False,null
02/16/2023,Montgomery General Hospital,37.4082,-80.5607,Blacksburg,VA,Healthcare,"$750,000",Unknown,"$750,000",False,null
02/21/2023,Minneapolis Public Schools,44.9778,-93.2650,Minneapolis,MN,Education,"$1,000,000",Unknown,"$1,000,000",False,null
02/23/2023,US Marshals Service,38.8951,-77.0364,Washington,DC,Government/Law Enforcement,Unknown,Unknown,Unknown,False,null
02/26/2023,MCNA Dental,33.7490,-84.3880,Atlanta,GA,Healthcare/Dental Insurance,"$10,000,000",Unknown,"$10,000,000",False,null
02/28/2023,City of Modesto,37.6391,-120.9969,Modesto,CA,Government,Unknown,Unknown,Unknown,False,null
