Date (MM/DD/YYYY),Entity Name,Latitude,Longitude,City,State,Sector,Demand,Currency,Demand in USD,Paid,Amount Paid
01/02/2025,Community Health Center (CT),41.5623,-72.6509,Middletown,CT,Healthcare,Unknown,Unknown,Unknown,False,null
01/13/2025,Conduent Business Services,40.7958,-74.3812,Florham Park,NJ,Technology/Business Services,Unknown,Unknown,Unknown,True,Unknown
01/13/2025,Mundelein Park & Recreation District,42.2645,-88.0062,Mundelein,IL,Government/Recreation,"$400,000",Unknown,"$400,000",Unknown,Unknown
01/21/2025,SimonMed Imaging,33.4942,-111.9261,Scottsdale,AZ,Healthcare/Medical Imaging,"$1,000,000",Unknown,"$1,000,000",True,Unknown
01/22/2025,Anthony Hospital,39.1200,-88.5434,Effingham,IL,Healthcare,Unknown,Unknown,Unknown,False,null
01/26/2025,New York Blood Center Enterprises,40.7128,-74.0060,New York,NY,Healthcare/Blood Services,Unknown,Unknown,Unknown,False,null
01/27/2025,Frederick Health,39.4143,-77.4105,Frederick,MD,Healthcare,Unknown,Unknown,Unknown,False,null
01/27/2025,Sunflower Medical Group,38.9717,-95.2353,Olathe,KS,Healthcare,10 BTC,Bitcoin,"$970,000",False,null
01/28/2025,Sault Tribe of Chippewa Indians,46.4953,-84.3453,Sault Ste. Marie,MI,Government/Tribal,"$5,000,000",Unknown,"$5,000,000",Unknown,Unknown
01/28/2025,PowerSchool (secondary extortion),37.4419,-122.1430,Sunnyvale,CA,Technology/Education Software,Unknown,Unknown,Unknown,True,"$2,850,000"
02/02/2025,Bell Ambulance,43.0389,-87.9065,Milwaukee,WI,Healthcare/Emergency Services,Unknown,Unknown,Unknown,False,null
02/04/2025,NASCAR,28.3772,-80.7075,Daytona Beach,FL,Sports/Entertainment,"$4,000,000",Unknown,"$4,000,000",False,null
02/10/2025,Highlands Oncology Group PA,36.3729,-94.2088,Springdale,AR,Healthcare,"$700,000",Unknown,"$700,000",False,null
02/10/2025,WK Kellogg Co (via Cleo exploit),42.3314,-85.5636,Battle Creek,MI,Food & Beverage/Manufacturing,Unknown,Unknown,Unknown,False,null
02/13/2025,Maryland Transit Administration,39.2904,-76.6122,Baltimore,MD,Government/Transportation,30 BTC,Bitcoin,"$3,400,000",False,null
02/14/2025,Anne Arundel Dermatology,39.0840,-76.4341,Linthicum,MD,Healthcare/Dermatology,Unknown,Unknown,Unknown,Unknown,Unknown
02/15/2025,Hoboken City Government,40.7440,-74.0324,Hoboken,NJ,Government,Unknown,Unknown,Unknown,False,null
02/19/2025,Comcast Corporation (Medusa claim),39.9526,-75.1652,Philadelphia,PA,Telecommunications/Media,"$1,200,000",Unknown,"$1,200,000",Unknown,Unknown
02/22/2025,Hyundai AutoEver America,33.7183,-117.9794,Fountain Valley,CA,Technology/Automotive IT,Unknown,Unknown,Unknown,False,null
02/28/2025,West Hills Medical Center,34.2025,-118.6361,West Hills,CA,Healthcare,Unknown,Unknown,Unknown,False,null
02/28/2025,North Providence City Government,41.8501,-71.4637,North Providence,RI,Government,"$100,000",Unknown,"$100,000",Unknown,Unknown
03/08/2025,Yale New Haven Health System,41.3083,-72.9279,New Haven,CT,Healthcare/Education,Unknown,Unknown,Unknown,False,null
03/12/2025,Mid Michigan Medical Billing Service,43.5978,-83.8891,Saginaw,MI,Healthcare/Medical Billing,Unknown,Unknown,Unknown,False,null
03/18/2025,Henry County Government (IL),41.3609,-90.0040,Cambridge,IL,Government,"$500,000",Unknown,"$500,000",Unknown,Unknown
03/24/2025,DaVita Inc.,39.7392,-104.9903,Denver,CO,Healthcare/Dialysis,Unknown,Unknown,Unknown,Unknown,Unknown
03/27/2025,Penn-Harris-Madison Schools,41.6820,-86.1180,Mishawaka,IN,Education,Unknown,Unknown,Unknown,False,null
04/04/2025,Missouri Department of Conservation,38.5767,-92.1735,Jefferson City,MO,Government,Unknown,Unknown,Unknown,False,null
04/08/2025,NAHGA Claims Servicers,36.1627,-86.7816,Nashville,TN,Financial Services/Insurance,Unknown,Unknown,Unknown,False,null
